actor,text
Walter,"My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane Albuquerque, New Mexico, 87104. To all law enforcement entities, this is not an admission of guilt. I am speaking to my family now. Skyler you are the love of my life. I hope you know that. Walter Junior you're my big man. There are going to be some things. Things that you'll come to learn about me in the next few days. I just want you to know that no matter how it may look, I only had you in my heart. Goodbye."
Skyler,Happy Birthday.
Walter,Look at that.
Skyler,That is veggie bacon. Believe it or not. Zero cholesterol. You won't even taste the difference. What time do you think you'll be home?
Walter,Same time.
Skyler,"I don't want him dicking you around tonight. You get paid till 5, you work till 5, no later."
Walter,Hey.
Walter Jr,Happy birthday.
Walter,"Well, thank you."
Skyler,You're late again.
Walter Jr,There was no hot water again.
Skyler,"I have an easy fix for that. You wake up early, and then you get to be the first person in the shower."
Walter Jr,I have an idea. How about buy a new hot water heater? How's that idea? For the millionth and billionth time.
Skyler,Did you take your Echinacea?
Walter,Yeah. I think it's getting better.
Walter Jr,What the hell is this?
Walter,"It's veggie bacon. We're watching our cholesterol, I guess."
Walter Jr,Not me. I want real bacon. Not this fake crap.
Skyler,Too bad. Eat it.
Walter Jr,This smells like Band-aids.
Skyler,Eat it.
Walter Jr,"So, how's it feel to be old?"
Walter,How does it feel to be a smart ass?
Walter Jr,Good.
Walter,Eat your veggie bacon.
Walter,You all set?
Walter Jr,"Yeah, I'm fine."
Walter,"All right, see you at home."
Walter Jr,"Okay, see you."
Walter,Chemistry. It is the study of what? Anyone? Ben.
Ben,Chemicals.
Walter,"Chemicals! No! Chemistry is well, technically, chemistry is the study of matter. But I prefer to see it as the study of change. Now just just think about this. Electrons. They change their energy levels. Molecules. Molecules change their bonds. Elements. They combine and change into compounds. Well, that's all of life. Right? I mean, it's just It's the constant. It's the cycle. It's solution, dissolution, just over and over and over. It is growth, then decay, then transformation. It is fascinating, really. Chad, is there something wrong with your table? Okay. Ionic bonds Are you done? Ionic bonds. Chapter 6."
Walter,"And 2, 3 makes 10, and 10 makes 20. Here's your receipt, and hand this claiming disc to your car wash professional. Thank you. Come again."
Bogdan,He's not coming. He said he quits. I'm gonna run the register.
Walter,"Bogdan, no. We talked about this."
Bogdan,"I'm shorthanded, Walter. What am I to do? Walter? What am I to do?"
Chad,"Hey, Mr. White! Make those tires shine, huh?"
Chad’s Girlfriend,"Oh, my God. You would not believe who's cleaning Chad's car. Mr. White from Chemistry."
Everyone,Surprise!
Walter Jr,"Happy Birthday, Dad!"
Skyler,You're so very late.
Carmen,"Really, I'm serious, Skyler. I mean, you're flat as a washboard. You look awesome. She's not showing at all, is she?"
Marie,She's showing a little.
Skyler,"Carmen, this is my sister Marie."
Carmen,Pleased to meet you.
Marie,Hi.
Hank,"Glock 22. It's my daily carry, okay? I mean, unless you're talking, what, plus, P-plus loads, you can forget the 9-mil, all right? I’ve seen one of those bounce off a windshield one time."
Steve,"Yeah, the way you sh**t."
Hank,"If you're gonna bring a g*n, you gotta bring enough g*n. 40 caliber."
Walter Jr,This is awesome right here.
Hank,"Nice, isn't it?"
Walter Jr,"Dad, come check this out."
Walter,"Yeah, I see it."
Walter Jr,"Come on, take it."
Hank,"Check it out, Walt."
Walter,"No, no, it's just heavy."
Hank,"That's why they hire men. Jesus, it's not gonna bite you, all right? Looks like Keith Richards with a glass of warm milk, doesn't he? Hey, Walt. Everybody listen up, listen up, listen up! I'm gonna give a toast. A little toast to my brother-in-law. Come here. Walt, you got a brain the size of Wisconsin, but we're not gonna hold that against you. Because your heart's in the right place, man. Your heart's in the right place. We love you, man. We love you. Everybody! To Walt! Nostrovia!"
Everyone,Nostrovia!
Hank,"Oh shit, turn on Channel 3."
Hank(on the news),At which point we apprehended three individuals and placed them into custody. I'm proud to say the outstanding professionalism of my fellow agents at the Albuquerque District Office resulted in a substantial amount of methamphetamine being taken off the streets.
Reporter(on the news),Were any shots fired?
Hank(on the news),"No, ma'am. Our agents took the suspects by surprise."
Steve,"Damn, the TV does add ten pounds."
Marie,Ten pounds?
Hank,"Hey, sit and spin. Both of you."
Skyler,Hank.
Hank,What? Sorry. You didn't see that.
Skyler,So charming.
Hank(on the news),"This is clearly an ongoing operation, one which was well organized."
Walter,"Hank, how much money is that?"
Hank,"It's about 700 grand. That's a pretty good haul, huh?"
Hank(on the news),"As I say, it's a good day for the citizens of Albuquerque when we can put this big a dent in the local drug trade."
Walter,"Wow. But that's unusual, isn't it, that kind of cash?"
Hank,"Well, it's not the most we ever took. It's easy money until we catch you. Walt, just say the word and I'll take you on a ride-along. You can watch us knock down a meth lab. Get a little excitement in your life."
Walter,"Well, someday."
Walter,Which one's this?
Skyler,That faux-Lalique vase I picked up at the Super-Swap.
Walter,How's it doing?
Skyler,"I met my reserve, and there's still two minutes."
Walter,What's up?
Skyler,"You tell me, birthday boy. Oh, hey, so what's up for Saturday?"
Walter,Car wash. Bogdan says he needs me.
Skyler,Until what time? Noon? 1-ish?
Walter,"Probably 2, more like it."
Skyler,And then what after that?
Walter,Actually I was thinking of driving up to Los Alamos. The visitor center has an exhibit on that’s really supposed to be...
Skyler,You're not gonna paint?
Walter,I'll paint. It's just that this part of this exhibition on the Mars Rover photographs are the detail really is just supposed to be amazing.
Skyler,"It's just that I really need you to paint at some point. I mean, the sooner that back bedroom gets finished. And I'd do it myself, except you said you don't want me standing on the stepladder."
Walter,I'll paint. I will paint.
Skyler,What is going on down there?
Walter,"No, it's just..."
Skyler,Is he asleep?
Walter,"No, It's nothing. You know, just you know, we gotta be careful about the baby."
Skyler,"Don't worry about the baby. This is just for you. We are just doing you tonight. So just close your eyes. Relax, and let it. Close your eyes."
Walter,Okay.
Skyler,There you go. That's it. That's it. There you go. Keep it going. Keep it going. Keep it going. Keep Yes! 56!
Walter,"This is so embarrassing. I am fine. Honestly. It's just some bug going around. First my wife had it, then my son, and now me. It's just like a chest cold. Could be some low blood sugar as well. I didn't have the greatest breakfast this morning, honestly. Hey, listen, can you do me a favor? Can you just drop me off at a corner somewhere?"
EMT,No. Sorry.
Walter,It's just that I don't have the greatest insurance.
EMT,Take a couple of deep breaths for me. Is there anybody you want us to contact for you?
Walter,"God, no."
EMT,"Lean forward for me, would you? Mr. White, are you a smoker?"
Walter,No. Never. Why do you ask?
Doctor,Mr. White. Mr. White?
Walter,Yes.
Doctor,You understood what I've just said to you?
Walter,Yes. Lung cancer. Inoperable.
Doctor,I'm sorry I just need to make sure you fully understand.
Walter,"Best-case scenario, with chemo, I'll live maybe another couple years. It's just you've got mustard on your...right there. Mustard, there. Right there."
Skyler,"So my records show that I paid it, and I certainly don't feel that we owe any late...All right. Well, I'll check with the bank and maybe the post office, if they lost it or something. Yeah, let me look into that. Okay. Thank you. Did you use the MasterCard last month?"
Walter,We needed printer paper.
Skyler,"Walt, the MasterCard's the one we don't use."
Walter,Okay.
Skyler,So how was your day?
Walter,"Oh, I don't know. I don't know. It was, um it was fine."
Bogdan,Come on. I'm shorthanded. I need you to do some wipe-downs. Come on.
Walter,What?
Bogdan,"I said I need you outside to do some wipe-downs. Are you here to work or to be staring at the skies? Come on, let's go. Come on, man."
Walter,"f*ck you, Bogdan."
Bogdan,What?
Walter,I said f*ck you! And your eyebrows! Wipe down this!
Walter,"Uh, Hank. Hank, it's Walt. Hey. Oh, listen I didn't wake you, did I? Oh, good, good. No, no, nothing's wrong. I just, uh I've been, uh, thinking about that offer that ride-along."
Hank,"It's the last house on the right. See it? Not the two-story one. The one next to it. The kind of I don't know, what do you call that? Green?"
Steve,Sage.
Hank,"Sage. What, do you work at the f*cking Pottery Barn? Jesus."
Steve,Sage. That's the word for it. My fault the only word your dumb ass knows is green?
Hank,"Cheese dick. I know that one. How 'bout that? Anyway, it's the sage one. See it?"
Walter,"So what tells you it's a meth lab?
Hank  Just our snitch. Says some dude goes by Cap'n Cook lives up to his name in there. Says he always adds a dash of chili powder. Ah, you exuberant Mexicans."
